DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT21,2024,95.00,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT21,2025,89.37,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT22,2006,46.83,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT22,2007,55.54,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT22,2008,65.87,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT22,2009,62.97,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT22,2010,73.22,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT22,2011,71.35,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT22,2012,78.06,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT22,2013,81.56,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT22,2014,80.14,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT22,2016,82.45,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT22,2017,90.33,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT22,2018,87.99,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT22,2019,85.55,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT22,2020,85.97,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT22,2021,94.12,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT22,2022,92.64,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT22,2023,92.67,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT22,2024,94.00,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT22,2025,94.65,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT3,2006,52.47,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT3,2007,58.44,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT3,2008,69.06,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT3,2009,71.48,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT3,2010,73.00,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT3,2011,76.42,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT3,2012,77.29,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT3,2013,82.48,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT3,2014,81.70,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT3,2015,81.84,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT3,2016,85.67,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT3,2017,88.63,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT3,2018,89.61,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT3,2019,90.11,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT3,2020,90.65,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT3,2021,95.41,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT3,2022,92.81,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT3,2023,95.05,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT3,2024,95.69,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT3,2025,95.29,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT31,2006,51.98,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT31,2007,57.77,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT31,2008,69.42,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT31,2009,71.58,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT31,2010,71.88,,
